,milage,diff,action
655,13,7.0,0
656,20,7.0,0
657,27,13.0,0
658,40,6.0,0
659,46,10.0,0
660,56,22.0,0
661,78,12.0,0
662,90,17.0,0
663,107,-101.0,1
664,6,3.0,0
665,9,16.0,0
666,25,11.0,0
667,36,11.0,0
668,47,8.0,0
669,55,8.0,0
670,63,8.0,0
671,71,4.0,0
672,75,16.0,0
673,91,7.0,0
674,98,11.0,0
675,109,10.0,0
676,119,-112.0,1
677,7,6.0,0
678,13,4.0,0
679,17,10.0,0
680,27,8.0,0
681,35,16.0,0
682,51,11.0,0
683,62,4.0,0
684,66,10.0,0
685,76,10.0,0
686,86,14.0,0
687,100,8.0,0
688,108,-90.0,1
689,18,7.0,0
690,25,8.0,0
691,33,3.0,0
692,36,14.0,0
693,50,8.0,0
694,58,4.0,0
695,62,-50.0,1
696,12,5.0,0
697,17,13.0,0
698,30,9.0,0
699,39,3.0,0
700,42,-37.0,1
701,5,13.0,0
702,18,10.0,0
703,28,11.0,0
704,39,11.0,0
705,50,14.0,0
706,64,13.0,0
707,77,14.0,0
708,91,8.0,0
709,99,11.0,0
710,110,10.0,0
711,120,5.0,0
712,125,14.0,0
713,139,5.0,0
714,144,-141.0,1
715,3,14.0,0
716,17,8.0,0
717,25,9.0,0
718,34,7.0,0
719,41,14.0,0
720,55,10.0,0
721,65,18.0,0
722,83,-72.0,1
723,11,17.0,0
724,28,12.0,0
725,40,19.0,0
726,59,7.0,0
727,66,14.0,0
728,80,17.0,0
729,97,8.0,0
730,105,5.0,0
731,110,-102.0,1
732,8,8.0,0
733,16,7.0,0
734,23,3.0,0
735,26,11.0,0
736,37,8.0,0
737,45,14.0,0
738,59,11.0,0
739,70,6.0,0
740,76,8.0,0
741,84,19.0,0
742,103,5.0,0
743,108,8.0,0
744,116,6.0,0
745,122,9.0,0
746,131,-107.0,1
747,24,3.0,0
748,27,6.0,0
749,33,11.0,0
750,44,8.0,0
751,52,13.0,0
752,65,10.0,0
753,75,8.0,0
754,83,12.0,0
755,95,5.0,0
756,100,-91.0,1
757,9,17.0,0
758,26,14.0,0
759,40,10.0,0
760,50,18.0,0
761,68,5.0,0
762,73,11.0,0
763,84,18.0,0
764,102,7.0,0
765,109,14.0,0
766,123,9.0,0
767,132,14.0,0
768,146,8.0,0
769,154,13.0,0
770,167,-163.0,1
771,4,14.0,0
772,18,18.0,0
773,36,8.0,0
774,44,4.0,0
775,48,10.0,0
776,58,11.0,0
777,69,-53.0,1
778,16,11.0,0
779,27,6.0,0
780,33,8.0,0
781,41,15.0,0
782,56,8.0,0
783,64,10.0,0
784,74,11.0,0
785,85,9.0,0
786,94,4.0,0
787,98,15.0,0
788,113,3.0,0
789,116,17.0,0
790,133,9.0,0
791,142,7.0,0
792,149,14.0,0
793,163,8.0,0
794,171,9.0,0
795,180,-174.0,1
796,6,2.0,0
797,8,8.0,0
798,16,25.0,0
799,41,10.0,0
800,51,3.0,0
801,54,7.0,0
802,61,3.0,0
803,64,6.0,0
804,70,8.0,0
805,78,22.0,0
806,100,11.0,0
807,111,11.0,0
808,122,12.0,0
809,134,12.0,0
810,146,11.0,0
811,157,9.0,0
812,166,6.0,0
813,172,10.0,0
814,182,-172.0,1
815,10,9.0,0
816,19,15.0,0
817,34,19.0,0
818,53,6.0,0
819,59,7.0,0
820,66,12.0,0
821,78,6.0,0
822,84,13.0,0
823,97,8.0,0
824,105,12.0,0
825,117,-101.0,1
826,16,6.0,0
827,22,16.0,0
828,38,12.0,0
829,50,12.0,0
830,62,6.0,0
831,68,8.0,0
832,76,-71.0,1
833,5,7.0,0
834,12,13.0,0
835,25,9.0,0
836,34,14.0,0
837,48,5.0,0
838,53,11.0,0
839,64,5.0,0
840,69,4.0,0
841,73,-68.0,1
842,5,11.0,0
843,16,4.0,0
844,20,6.0,0
845,26,12.0,0
846,38,4.0,0
847,42,10.0,0
848,52,8.0,0
849,60,6.0,0
850,66,10.0,0
851,76,15.0,0
852,91,10.0,0
853,101,12.0,0
854,113,3.0,0
855,116,7.0,0
856,123,15.0,0
857,138,9.0,0
858,147,7.0,0
859,154,-139.0,1
860,15,13.0,0
861,28,14.0,0
862,42,9.0,0
863,51,11.0,0
864,62,4.0,0
865,66,8.0,0
866,74,9.0,0
867,83,13.0,0
868,96,12.0,0
869,108,8.0,0
870,116,-109.0,1
871,7,11.0,0
872,18,10.0,0
873,28,5.0,0
874,33,16.0,0
875,49,13.0,0
876,62,14.0,0
877,76,7.0,0
878,83,7.0,0
879,90,9.0,0
880,99,7.0,0
881,106,8.0,0
882,114,26.0,0
883,140,20.0,0
884,160,-149.0,1
885,11,5.0,0
886,16,21.0,0
887,37,10.0,0
888,47,20.0,0
889,67,8.0,0
890,75,9.0,0
891,84,8.0,0
892,92,-86.0,1
893,6,4.0,0
894,10,5.0,0
895,15,3.0,0
896,18,5.0,0
897,23,9.0,0
898,32,8.0,0
899,40,19.0,0
900,59,4.0,0
901,63,10.0,0
902,73,4.0,0
903,77,18.0,0
904,95,-78.0,1
905,17,12.0,0
906,29,6.0,0
907,35,7.0,0
908,42,11.0,0
909,53,21.0,0
910,74,11.0,0
911,85,5.0,0
912,90,10.0,0
913,100,20.0,0
914,120,-111.0,1
915,9,14.0,0
916,23,8.0,0
917,31,14.0,0
918,45,3.0,0
919,48,11.0,0
920,59,13.0,0
921,72,7.0,0
922,79,3.0,0
923,82,11.0,0
924,93,6.0,0
925,99,11.0,0
926,110,10.0,0
927,120,17.0,0
928,137,8.0,0
929,145,-133.0,1
930,12,11.0,0
931,23,8.0,0
932,31,14.0,0
933,45,12.0,0
934,57,4.0,0
935,61,17.0,0
936,78,-68.0,1
937,10,8.0,0
938,18,5.0,0
939,23,2.0,0
940,25,4.0,0
941,29,9.0,0
942,38,9.0,0
943,47,13.0,0
944,60,11.0,0
945,71,6.0,0
946,77,8.0,0
947,85,8.0,0
948,93,9.0,0
949,102,10.0,0
950,112,-100.0,1
951,12,13.0,0
952,25,9.0,0
953,34,6.0,0
954,40,7.0,0
955,47,13.0,0
956,60,5.0,0
957,65,14.0,0
958,79,5.0,0
959,84,11.0,0
960,95,4.0,0
961,99,-96.0,1
962,3,18.0,0
963,21,5.0,0
964,26,8.0,0
965,34,15.0,0
966,49,3.0,0
967,52,7.0,0
968,59,19.0,0
969,78,8.0,0
970,86,7.0,0
971,93,12.0,0
972,105,3.0,0
973,108,2.0,0
974,110,12.0,0
975,122,6.0,0
976,128,10.0,0
977,138,11.0,0
978,149,7.0,0
979,156,7.0,0
980,163,-150.0,1
981,13,16.0,0
982,29,7.0,0
983,36,11.0,0
984,47,8.0,0
985,55,13.0,0
986,68,10.0,0
987,78,17.0,0
988,95,4.0,0
989,99,14.0,0
990,113,7.0,0
991,120,9.0,0
992,129,-124.0,1
993,5,7.0,0
994,12,7.0,0
995,19,10.0,0
996,29,8.0,0
997,37,13.0,0
998,50,25.0,0
999,75,7.0,0
1000,82,10.0,0
1001,92,8.0,0
1002,100,15.0,0
1003,115,-106.0,1
1004,9,7.0,0
1005,16,6.0,0
1006,22,6.0,0
1007,28,11.0,0
1008,39,10.0,0
1009,49,10.0,0
1010,59,2.0,0
1011,61,14.0,0
1012,75,8.0,0
1013,83,15.0,0
1014,98,7.0,0
1015,105,11.0,0
1016,116,15.0,0
1017,131,15.0,0
1018,146,-138.0,1
1019,8,8.0,0
1020,16,9.0,0
1021,25,7.0,0
1022,32,12.0,0
1023,44,17.0,0
1024,61,20.0,0
1025,81,8.0,0
1026,89,9.0,0
1027,98,8.0,0
1028,106,8.0,0
1029,114,10.0,0
1030,124,-114.0,1
1031,10,7.0,0
1032,17,19.0,0
1033,36,11.0,0
1034,47,5.0,0
1035,52,6.0,0
1036,58,5.0,0
1037,63,5.0,0
1038,68,7.0,0
1039,75,6.0,0
1040,81,12.0,0
1041,93,7.0,0
1042,100,17.0,0
1043,117,8.0,0
1044,125,6.0,0
1045,131,10.0,0
1046,141,-124.0,1
1047,17,11.0,0
1048,28,8.0,0
1049,36,10.0,0
1050,46,10.0,0
1051,56,6.0,0
1052,62,13.0,0
1053,75,5.0,0
1054,80,9.0,0
1055,89,-75.0,1
1056,14,15.0,0
1057,29,4.0,0
1058,33,15.0,0
1059,48,9.0,0
1060,57,20.0,0
1061,77,9.0,0
1062,86,13.0,0
1063,99,12.0,0
1064,111,-103.0,1
1065,8,12.0,0
1066,20,9.0,0
1067,29,22.0,0
1068,51,-46.0,1
1069,5,10.0,0
1070,15,6.0,0
1071,21,3.0,0
1072,24,7.0,0
1073,31,12.0,0
1074,43,1.0,0
1075,44,8.0,0
1076,52,17.0,0
1077,69,10.0,0
1078,79,8.0,0
1079,87,3.0,0
1080,90,18.0,0
1081,108,8.0,0
1082,116,11.0,0
1083,127,10.0,0
1084,137,-122.0,1
1085,15,5.0,0
1086,20,12.0,0
1087,32,10.0,0
1088,42,15.0,0
1089,57,13.0,0
1090,70,8.0,0
1091,78,9.0,0
1092,87,8.0,0
1093,95,9.0,0
1094,104,4.0,0
1095,108,9.0,0
1096,117,13.0,0
1097,130,8.0,0
1098,138,5.0,0
1099,143,10.0,0
1100,153,11.0,0
1101,164,11.0,0
1102,175,-164.0,1
1103,11,10.0,0
1104,21,10.0,0
1105,31,11.0,0
1106,42,8.0,0
1107,50,5.0,0
1108,55,14.0,0
1109,69,4.0,0
1110,73,18.0,0
1111,91,12.0,0
1112,103,8.0,0
1113,111,4.0,0
1114,115,2.0,0
1115,117,7.0,0
1116,124,6.0,0
1117,130,13.0,0
1118,143,7.0,0
1119,150,-145.0,1
1120,5,9.0,0
1121,14,12.0,0
1122,26,14.0,0
1123,40,18.0,0
1124,58,5.0,0
1125,63,17.0,0
1126,80,-75.0,1
1127,5,6.0,0
1128,11,5.0,0
1129,16,4.0,0
1130,20,12.0,0
1131,32,16.0,0
1132,48,27.0,0
1133,75,3.0,0
1134,78,5.0,0
1135,83,8.0,0
1136,91,7.0,0
1137,98,11.0,0
1138,109,9.0,0
1139,118,13.0,0
1140,131,-121.0,1
1141,10,5.0,0
1142,15,12.0,0
1143,27,11.0,0
1144,38,9.0,0
1145,47,12.0,0
1146,59,4.0,0
1147,63,7.0,0
1148,70,9.0,0
1149,79,15.0,0
1150,94,10.0,0
1151,104,6.0,0
1152,110,-101.0,1
1153,9,9.0,0
1154,18,3.0,0
1155,21,7.0,0
1156,28,4.0,0
1157,32,7.0,0
1158,39,8.0,0
1159,47,5.0,0
1160,52,15.0,0
1161,67,8.0,0
1162,75,5.0,0
1163,80,9.0,0
1164,89,11.0,0
1165,100,10.0,0
1166,110,10.0,0
1167,120,13.0,0
1168,133,14.0,0
1169,147,18.0,0
1170,165,6.0,0
1171,171,-154.0,1
1172,17,9.0,0
1173,26,15.0,0
1174,41,2.0,0
1175,43,13.0,0
1176,56,13.0,0
1177,69,8.0,0
1178,77,18.0,0
1179,95,8.0,0
1180,103,10.0,0
1181,113,4.0,0
1182,117,9.0,0
1183,126,10.0,0
1184,136,14.0,0
1185,150,5.0,0
1186,155,10.0,0
1187,165,-164.0,1
1188,1,8.0,0
1189,9,13.0,0
1190,22,10.0,0
1191,32,10.0,0
1192,42,12.0,0
1193,54,7.0,0
1194,61,15.0,0
1195,76,6.0,0
1196,82,10.0,0
1197,92,2.0,0
1198,94,7.0,0
1199,101,11.0,0
1200,112,11.0,0
1201,123,9.0,0
1202,132,7.0,0
1203,139,8.0,0
1204,147,12.0,0
1205,159,-149.0,1
1206,10,13.0,0
1207,23,5.0,0
1208,28,9.0,0
1209,37,2.0,0
1210,39,12.0,0
1211,51,8.0,0
1212,59,4.0,0
1213,63,7.0,0
1214,70,7.0,0
1215,77,10.0,0
1216,87,13.0,0
1217,100,-96.0,1
1218,4,9.0,0
1219,13,13.0,0
1220,26,10.0,0
1221,36,4.0,0
1222,40,15.0,0
1223,55,4.0,0
1224,59,-54.0,1
1225,5,5.0,0
1226,10,9.0,0
1227,19,3.0,0
1228,22,11.0,0
1229,33,16.0,0
1230,49,7.0,0
1231,56,12.0,0
1232,68,10.0,0
1233,78,12.0,0
1234,90,10.0,0
1235,100,8.0,0
1236,108,12.0,0
1237,120,14.0,0
1238,134,4.0,0
1239,138,11.0,0
1240,149,-138.0,1
1241,11,12.0,0
1242,23,26.0,0
1243,49,7.0,0
1244,56,12.0,0
1245,68,16.0,0
1246,84,14.0,0
1247,98,10.0,0
1248,108,8.0,0
1249,116,-99.0,1
1250,17,5.0,0
1251,22,4.0,0
1252,26,19.0,0
1253,45,11.0,0
1254,56,8.0,0
1255,64,10.0,0
1256,74,15.0,0
1257,89,5.0,0
1258,94,2.0,0
1259,96,-92.0,1
1260,4,3.0,0
1261,7,12.0,0
1262,19,10.0,0
1263,29,18.0,0
1264,47,13.0,0
1265,60,22.0,0
1266,82,8.0,0
1267,90,6.0,0
1268,96,20.0,0
1269,116,7.0,0
1270,123,16.0,0
1271,139,15.0,0
1272,154,9.0,0
1273,163,-153.0,1
1274,10,8.0,0
1275,18,23.0,0
1276,41,4.0,0
1277,45,5.0,0
1278,50,11.0,0
1279,61,18.0,0
1280,79,7.0,0
1281,86,-79.0,1
1282,7,12.0,0
1283,19,7.0,0
1284,26,6.0,0
1285,32,10.0,0
1286,42,9.0,0
1287,51,11.0,0
1288,62,8.0,0
1289,70,11.0,0
1290,81,14.0,0
1291,95,7.0,0
1292,102,15.0,0
1293,117,-110.0,1
1294,7,13.0,0
1295,20,16.0,0
1296,36,11.0,0
1297,47,-27.0,1
1298,20,13.0,0
1299,33,5.0,0
1300,38,2.0,0
1301,40,14.0,0
1302,54,15.0,0
1303,69,7.0,0
1304,76,10.0,0
1305,86,10.0,0
1306,96,9.0,0
1307,105,11.0,0
1308,116,16.0,0
1309,132,-114.0,1
1310,18,8.0,0
1311,26,5.0,0
1312,31,14.0,0
1313,45,12.0,0
1314,57,18.0,0
1315,75,3.0,0
1316,78,4.0,0
1317,82,8.0,0
1318,90,8.0,0
1319,98,2.0,0
1320,100,0.0,0
1321,100,5.0,0
1322,105,16.0,0
1323,121,10.0,0
1324,131,-124.0,1
1325,7,4.0,0
1326,11,8.0,0
1327,19,9.0,0
1328,28,10.0,0
1329,38,9.0,0
1330,47,16.0,0
1331,63,17.0,0
1332,80,-67.0,1
1333,13,6.0,0
1334,19,10.0,0
1335,29,14.0,0
1336,43,22.0,0
1337,65,1.0,0
1338,66,6.0,0
1339,72,13.0,0
1340,85,11.0,0
1341,96,5.0,0
1342,101,13.0,0
1343,114,-98.0,1
1344,16,5.0,0
1345,21,14.0,0
1346,35,6.0,0
1347,41,15.0,0
1348,56,8.0,0
1349,64,6.0,0
1350,70,3.0,0
